the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
" if you pass this bill , big brother will be watching you , " said rep. john mabry , d-waco .	" if you pass this bill , " rep. john mabry jr. , d-waco , told colleagues , " big brother will be watching you . "	4.800
douglas robinson , a senior vice president of finance , will take over as chief financial officer on an interim basis .	douglas robinson , ca senior vice president , finance , will fill the position in the interim .	3.800
intel today disclosed details of its next-generation xscale processor for mobile phones and handheld devices here in san jose .	intel on wednesday unveiled its next-generation processor for cell phones , pdas , and other wireless devices .	3.600
several states and the federal government later passed similar or more strict bans .	following california 's lead , several states and the federal government passed similar or tougher bans .	4.000
still , he noted miami must decide whether to seek acc membership for the next school year by june 30 to adhere to big east guidelines .	still , he noted that miami must decide whether to seek a.c.c. membership by june 30 to adhere to big east guidelines .	4.600
he refused to reveal what percentage of flights carried sky marshals , or whether they would be increased .	he refused to say what percentage of domestic flights had security officers on board .	3.800
revenues for " the hulk " came in well below those of last month 's marvel comics adaptation , " x2 : x-men united , " which grossed $ 85.6 million in its opening weekend .	the hulk trailed last month 's marvel comics adaptation , x2 : x-men united , which grossed $ 85.6-million in its opening weekend .	4.800
shares of littleton , colorado-based echostar rose $ 1.63 , or 5.3 percent , to $ 32.26 at 10:55 a.m.	on monday , echostar ( dish : news , chart , profile ) shares shrank $ 1.40 , or 4.4 percent , to $ 30.63 .	2.000
the valid signatures of 897,158 registered california voters must be collected and turned in to county election officials by sept. 2 .	to force a recall election of davis , the valid signatures of 897,158 registered california voters must be turned in to election officials .	3.200
the benchmark 10-year note us10yt = rr lost 11/32 in price , taking its yield to 3.21 percent from 3.17 percent late on monday .	further out the curve , the benchmark 10-year note us10yt = rr shed 18/32 in price , taking its yield to 3.24 percent from 3.17 percent .	2.200
the mdc called the strike to force mr mugabe to either resign or negotiate a settlement of the zimbabwe crisis .	the mdc called the week-long protest to urge mugabe either to resign or to negotiate a settlement of the crisis gripping the country .	4.000
the 6th u.s. circuit court of appeals on wednesday ruled that an ohio law banning a controversial late-term abortion method passes constitutional muster and the state can enforce it .	an ohio law that bans a controversial late-term abortion procedure is constitutionally acceptable and the state can enforce it , a federal appeals court ruled yesterday .	4.200
the nasdaq composite index advanced 20.59 , or 1.3 percent , to 1,616.50 , after gaining 5.7 percent last week .	the technology-laced nasdaq composite index < . ixic > climbed 19.11 points , or 1.2 percent , to 1,615.02 .	2.000
revenue rose 3.9 percent , to $ 1.63 billion from $ 1.57 billion .	the mclean , virginia-based company said newspaper revenue increased 5 percent to $ 1.46 billion .	1.200
in january 2000 , notebooks represented less than 25 percent of sales volume .	that compares with january 2000 , when laptops represented less than 25 percent of sales volume , npd said .	4.000
argentine guillermo coria and netherlander martin verkerk are in the other half .	the other semifinal between guillermo coria of argentina and martin verkerk of the netherlands is also compelling .	3.000
the nasdaq composite index rose 19.67 , or 1.3 percent , to 1523.71 , its highest since june 18 .	the s & p 500 had climbed 16 percent since its march low and yesterday closed at its highest since dec. 2 .	0.800
" what can i say to you ? " he told a crowd at a cemetery with a thousand headstones , many of them marking the graves of entire families .	mr. powell told a crowd at a cemetery with a thousand headstones , many of them marking the graves of entire families .	2.800
they said they had concluded that the film failed " to present a balanced portrayal " of the reagans .	cbs said the show " does not present a balanced portrayal of the reagans for cbs and its audience .	3.000
" we 're going to do everything in our power to get money back to ratepayers as quickly as possible , " kennedy said .	" there 's very strong interest in getting money back to the ratepayers as quickly as possible , " commissioner susan kennedy said .	3.800
she had only a single condition , that the book not be published until her death .	she insisted , though , that it not be published until after her death .	4.400
the findings are published in the november 6 edition of the journal nature .	both studies are published on thursday in nature , the british weekly science journal .	2.600
median household income declined 1.1 percent between 2001 and 2002 to $ 42,409 , after accounting for inflation .	the same survey found the median household income rose by $ 51 , when accounting for inflation , to $ 43,057 .	1.400
u.s. and european leaders pledged on wednesday to work together to keep iran from developing nuclear weapons , presenting a united front after months of bitter acrimony over iraq .	bush said u.s. and european union leaders , at an annual washington summit , agreed on the need to keep iran from developing nuclear weapons .	3.200
the company said it would cut the wholesale price of most top-line cds to $ 9.09 from $ 12.02 .	the company also said it would cut wholesale prices on cassettes and change the suggested retail price to $ 8.98 .	1.600
he left the army for syria where he received religious training .	he moved to syria , where he underwent further religious training in traditional islamic beliefs .	3.000
the meeting was scheduled to end wednesday night , with attendees approving resolutions that express the denomination 's view on issues but that are not binding on churches .	on wednesday , attendees will vote on resolutions that express the southern baptist view on issues , but are not binding on individual churches .	3.273
but the inadequate performance of students in various subgroups tagged the state as deficient under the federal no child left behind act .	but the inadequate performance of students in various subgroups , such as race , pushed the state onto the needs-improvement list under the federal no child left behind act .	4.000
this led to the recovery of the 270-kilogram cancuen altar , announced on wednesday by the vanderbilt university in nashville and the national geographic society .	this led last month to the recovery of the 600-pound cancun altar , vanderbilt university in nashville and the national geographic society announced wednesday .	3.250
shares of allergan fell 14 cents to close at $ 78.12 on the new york stock exchange ( news - web sites ) .	shares of allergan were up 14 cents at $ 78.40 in late trading on the new york stock exchange .	3.250
the upcoming second-quarter earnings season will be particularly important in offering investors guidance , they say .	they say second-quarter earnings reports will be key in giving investors that guidance .	5.000
in a not-too-subtle swipe at dean , he predicted americans would not elect a democrat " who sounds an uncertain trumpet in these dangerous times . "	they will not elect as president a democrat who sounds an uncertain trumpet in these dangerous times . "	3.500
that took the benchmark 10-year note us10yt = rr down 9/32 , its yield rising to 3.37 percent from 3.34 percent late on thursday .	that saw the benchmark 10-year note us10yt = rr slip 5/32 in price , taking its yield to 3.36 percent from 3.34 percent late on thursday .	3.417
the report forecasts there will be 71,079 hot spots worldwide this year , up from just 14,752 in 2002 and 1,214 in 2001 .	the report also claims that there will be up to 9.3 million visitors to hot spots this year , up again from the meagre 2.5 million in 2002 .	1.750
a new study , conducted in europe , found the medicine worked just as well as an earlier disputed study , sponsored by imclone systems , said it did .	doctors concluded erbitux , the cancer drug that enmeshed imclone systems in an insider trading scandal , worked just as well as an earlier company-sponsored study said it did .	2.700
the bank 's shares fell 45 cents in trading yesterday to $ 91.51 per share .	shares of m & t , which is based in buffalo , fell 41 cents , to $ 91.51 .	2.750
her lawyer donald levine told the telegraph she had been offered $ us250 ,000 to tell her story exclusively to australian tv .	mr levine said she had been offered $ 400,000 to tell her story to an australian tv network .	3.750
perry has called lawmakers into two special sessions to address congressional redistricting .	perry has since called two special legislative sessions to try force the redistricting plan through .	3.750
in the latest violence , insurgents threw a bomb at a u.s. convoy in northern baghdad , killing one soldier .	early monday , insurgents threw a homemade bomb at a u.s. convoy in northern baghdad , killing an american soldier .	4.111
consumer groups are against the changes , saying they hurt individuality in markets .	consumer groups oppose the changes , saying they would concentrate too many outlets in too few media empires .	3.600
airtran officials and a boeing official declined to comment yesterday .	trish york , a spokeswoman for boeing , declined to comment on the deal .	4.000
the lawsuit names shelley , a democrat , and registrars in los angeles , orange and san diego counties .	the lawsuit named secretary of state kevin shelley , a democrat , and the registrars of voters in los angeles , orange and san diego counties .	4.200
negotiators said friday they made good progress during their latest round of talks on creating a central american free trade agreement .	negotiators said friday they made progress during their latest round of free-trade negotiations between the united states and five central american countries this week in houston .	3.750
" it 's very difficult to do large syndicated loans in japan , " where there is a lack of expertise , says one banker .	" it is very difficult to do large syndicated loans in japan , " says one banker .	3.800
the case comes out of illinois and involves a for-profit company called telemarketing associates inc. .	the case decided monday centered around an illinois fund-raiser , telemarketing associates .	4.400
every thursday , a grains management committee meets in the commission 's agriculture directorate to decide the outcome of a weekly export tender .	a grains management committee normally meets each thursday in the commission 's agriculture unit -- another target of wednesday 's raids -- to decide the outcome of a weekly export tender .	3.600
he urged congress to " send me the final bill as soon as possible so that i can sign it into law . "	" i urge congress to quickly resolve any differences and send me the final bill as soon as possible so that i can sign it into law , " he said .	4.600
mr. pingeon is director of litigation for massachusetts correctional legal services , a prisoners ' rights group .	pingeon said an attorney for his organization , massachusetts correctional legal services , interviewed assan tuesday .	1.667
yee is a 1990 graduate of the u.s. military academy at west point , new york .	yee grew up in the united states and graduated from the u.s. military academy at west point .	4.000
" pnc regrets its involvement " in the deals , chairman and chief executive officer james rohr said in a statement .	james rohr , chairman and chief executive officer , said pnc regretted the incident .	4.333
ccag supported bill curry , rowland 's opponent in the 2002 gubernatorial election .	mr. swan 's group supported the governor 's democratic opponent , bill curry , in the 2002 election .	3.000
they later fell out and have backed a series of rival congolese militias in recent years .	the two invading countries later fell out , and have since backed rival factions .	3.500
state health officials said today a young northeast kansas woman likely has the state 's first case of monkeypox among humans or animals .	health officials confirmed today that a northeast kansas woman has the state 's first case of monkeypox and the first case west of the mississippi river .	3.500
another said its members would continue to call the more than 50 million phone numbers on the federal trade commission 's list .	meantime , the direct marketing association said its members should not call the nearly 51 million numbers on the list .	2.000
veteran entertainer bob hope celebrates his 100th birthday - and many years in showbusiness - on thursday .	hollywood and the world are gearing up to celebrate legendary entertainer bob hope 's 100th birthday on thursday .	3.750
navistar shares were down 44 cents , or 1.1 percent , at $ 41.19 on the new york stock exchange after falling as low as $ 39.93 .	navistar shares rose a penny to $ 41.64 at late afternoon on the new york stock exchange after earlier falling as low as $ 39.93 .	2.000
colin powell , the secretary of state , said contacts with iran would not stop .	secretary of state colin powell said yesterday that contacts with iran would continue .	4.333
declining issues outnumbered advancers nearly 2 to 1 on the new york stock exchange .	advancers outnumbered decliners by nearly 8 to 3 on the nyse and more than 11 to 5 on nasdaq .	1.800
a floating airfield with a flight deck covering 4.5 acres , the ship took about five years to build .	the reagan , a floating airfield with a flight deck covering 4.5 acres , is the ninth nimitz-class carrier to be built at the newport news shipyard .	2.667
im very proud of the citizens of this state , said gov. john baldacci , a casino foe .	" i ´ m very proud of the citizens of this state , " gov. john baldacci said after votes from tuesday ´ s referendum were counted .	3.800
stout previously worked for general electric subsidiary ge capital service inc. , where he was vice president and chief technology and information officer .	stout comes to sprint from ge capital , where he served as chief technology and information officer .	3.200
only intel corp. 's 0.3 percent yield was lower .	only intel corp. has a lower dividend yield .	2.800
an injured woman co-worker also was hospitalized and was listed in good condition .	a woman was listed in good condition at memorial 's healthpark campus , he said .	2.200
the shooting victim was taken to kings county hospital center , where he later died , the police said .	the victim , who was not identified , was taken to kings county hospital where he was pronounced dead .	4.333
mgm , nbc and liberty executives were not immediately available for comment .	a microsoft spokesman was not immediately available to comment .	2.000
the new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up .	the new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up , including 20 women taking hormones .	3.000
they reported symptoms of fever , headache , rash and muscle aches .	symptoms include a stiff neck , fever , headache and sensitivity to light .	2.333
" we 've become like total strangers , " klein quotes him as saying .	" we 've become like total strangers , " john told a pal two days before his death .	3.250
davey graduated saturday from northwest college , which is affiliated with the assemblies of god , with a bachelor of arts degree in religion and philosophy .	davey started attending northwest college , which is affiliated with the assemblies of god , in 1999 with plans to become a minister .	2.250
veteran stage and screen actor hume cronyn died of cancer sunday .	character actor hume cronyn , 91 , died sunday at his home in connecticut .	3.500
scrimshaw , supervisor , best minister and ten most wanted are expected to complete the belmont field .	best minister , scrimshaw , and ten most wanted all had workouts on monday morning .	2.250
the technology-laced nasdaq composite index . ixic fell 23.54 points , or 1.42 percent , to 1,630.08 .	the broader standard & poor 's 500 index . spx gave up 11.91 points , or 1.19 percent , at 986.60 .	0.750
" it was a final test before delivering the missile to the armed forces .	state radio said it was the last test before the missile was delivered to the armed forces .	4.000
" your withdrawal from our country is inevitable , whether it happens today or tomorrow , and tomorrow will come soon . "	" your withdrawal from our country is inevitable , whether it happens today or tomorrow , " added the voice , which signed off giving the date as " mid-september . "	3.500
deirdre hisler , government canyon 's manager , said the state has long had its eye on this piece of property and is eager to complete the deal to obtain it .	deirdre hisler , government canyon 's manager , said the state long has coveted this piece of property , and is eager to complete the deal .	5.000
according to a news release sent by the terry schindler-schiavo foundation , florida speaker johnnie byrd will introduce " terri 's bill " during the special session monday .	florida 's speaker of the house johnnie byrd , is expected to introduce " terri 's bill " during a one-day special session of the state legislature being held today in tallahassee .	3.750
also , businesses throughout utah are volunteering to display amber alerts on their signs .	other businesses are volunteering to put the alerts on their electronic signs and billboards .	3.750
thanks to the euro 's rise against the japanese currency , the dollar was at 117.24 yen , well above the overnight 10-month low of 116 yen .	the euro 's rise against the yen and speculation of japanese intervention helped the dollar firm to 117.25 yen , well above a 10-month low of 116 yen hit on thursday .	4.250
former south african archbishop desmond tutu said sunday he did not see what " all the fuss " was over appointing a gay bishop , but urged homosexual clergy to remain celibate .	south africa 's nobel laureate archbishop desmond tutu says he does not understand all the fuss about appointing a gay bishop , but he has urged homosexual clergy to remain celibate .	4.500
russian stocks fell after the arrest last saturday of mikhail khodorkovsky , chief executive of yukos oil , on charges of fraud and tax evasion .	the weekend arrest of russia 's richest man , mikhail khodorkovsky , chief executive of oil major yukos , on charges of fraud and tax evasion unnerved financial markets .	4.000
reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless , huddled in blankets to protect them from the cold .	reuters witnesses said public squares were packed with crying children and people left homeless , huddled in blankets to protect them from the cold .	3.250
for the year , it expects sales of $ 94 million and a profit of 26 cents a share from continuing operations .	this is an increase from the $ 22.5 million and 5 cents a share previously forecast .	0.750
in september , hewlett-packard signed a development and marketing deal with the company .	four months later it signed a joint marketing agreement with hewlett-packard co. .	2.750
consumers would still have to get a descrambling security card from their cable operator to plug into the set .	to watch pay television , consumers would insert into the set a security card provided by their cable service .	4.000
on friday , the concorde started up around sunrise and seemed to launch itself straight out of the rising sun .	yesterday , the concorde seemed to launch itself straight out of the rising sun .	3.400
a stage 1 episode is declared when ozone levels reach 0.20 parts per million .	the federal standard for ozone is 0.12 parts per million .	2.200
after hughes refused to rehire hernandez , he complained to the equal employment opportunity commission .	hernandez filed an equal employment opportunity commission complaint and sued .	3.400
the three grocery chains were relying on store managers and replacement workers to keep their stores open .	the supermarket chains have used managers and replacement workers to keep their stores open , often at reduced hours .	3.400
dewhurst 's proposal calls for an abrupt end to the controversial " robin hood " plan for school finance .	the committee would propose a replacement for the " robin hood " school finance system .	2.600
other countries and private creditors are owed at least $ 80 billion in addition .	other countries are owed at least $ us80 billion ( $ 108.52 billion ) .	3.400
telemarketers who call numbers on the list after oct. 1 could face fines of up to $ 11,000 per call .	under the law , telemarketers who call numbers on the list can be fined up to $ 11,000 for each violation .	3.600
while waiting for a bomb squad to arrive , the bomb exploded , killing wells .	the bomb exploded while authorities waited for a bomb squad to arrive .	3.250
he explained that he found antetonitrus when he came to wits in 2001 as a post-doctoral research assistant at england 's university of bristol .	he explained that he found antetonitrus when he came to wits in 2001 while a post-doctoral research assistant at bristol university in britain .	5.000
air canada , the largest airline in canada and no. 11 in the world , has been under court protection from creditors since april 1 .	the no. 11 airline in the world , air canada has been under court protection from creditors since april 1 .	4.250
the security official 's backup could n't fill in because he was on active military duty , strutt said .	the security official 's backup was on active duty , and the lottery association did n't have a replacement in new jersey , strutt said .	3.400
the jury also found gonzales guilty of using excessive force by dousing olvera-carrera with pepper spray .	gonzales was found guilty of using excessive force by spraying olvera with pepper spray .	4.250
the bodies of some of the dead , pulled out from under the train , were laid out beside the tracks while emergency services brought in wooden coffins .	the bodies of many of the dead , pulled from under the partially derailed train , were laid out by the tracks awaiting identification .	3.250
garner said the self-proclaimed mayor of baghdad , mohammed mohsen al-zubaidi , was released after two days in coalition custody .	garner said self-proclaimed baghdad mayor mohammed mohsen zubaidi was released 48 hours after his detention in late april .	4.250
" enron company executives engaged in widespread and pervasive fraud , " prosecutor samuel buell told the associated press .	" enron company executives engaged in widespread and pervasive fraud to manipulate the company 's earnings results , " buell said .	3.750
" it seems to me ... we 're just dealing with bragging rights here , who wins and who loses , " said gammerman , who heard the case without a jury .	" leaving aside attorney fees , we 're dealing with bragging rights of who wins and who loses , " said gammerman .	3.667
customers that pay the $ 1,219 entrance fee get sms 2003 with 10 device client access licenses .	retail pricing for sms 2003 with 10 device client access licenses is $ 1,219 .	4.333
results of the 2001 aboriginal peoples survey released yesterday by statistics canada suggest living standards have improved but still lag for those off reserves .	the 2001 aboriginal peoples survey released wednesday by statistics canada says living standards have improved but still lag for the inuit and those who leave their often impoverished reserves .	3.909
" the recent turnaround in the stock market and an easing in unemployment claims should keep consumer expectations at current levels and may signal more favorable economic times ahead . "	the recent turnaround in the stock market and an easing in unemployment claims " may signal more favorable economic times ahead , " she said .	3.933
while the day 's trading was lackluster , the standard & poor 's 500 index was preparing to close out its best three-month period since the fourth quarter of 1998 .	the standard & poor 's 500 stock index ended the quarter up 120 points , a gain of 14 percent , the best performance for that broad market benchmark since 1998 .	3.750
researchers found the fossils in a semidesert area of venezuela , about 250 miles west of caracas .	phoberomys ' skeleton was unearthed 250 miles west of caracas , venezuela .	3.750
ona explicitly stated that it did not receive intelligence material indicating that jemaah islamiyah terrorist network was planning to mount an operation in bali .	" but at no stage did ona receive intelligence material indicating that jemaah islamiyah was planning to mount an operation in bali . "	4.250
those reports were denied by the interior minister , prince nayef .	however , the saudi interior minister , prince nayef , denied the reports .	4.250
bryant previously said that hike had a greater impact on demand than officials expected .	chief financial officer andy bryant has said that hike had a greater affect volume than officials expected .	3.500
the american women , who are defending champions , will play in philadelphia on sept. 25 and conclude group competition in columbus on sept. 28 .	the u.s. women , who are defending champions , will play on sept. 25 in philadelphia and conclude group competition on sept. 28 in columbus , ohio .	4.750
judge leroy millette jr. can reduce the punishment to life in prison without parole when muhammad is formally sentenced feb. 12 , but virginia judges rarely take such action .	though the judge can reduce the punishment to life in prison without parole , experts say virginia judges rarely take that opportunity .	3.250
mr mcdonnell is leading grant thornton international 's inquiry into the italian business .	mr mcdonnell wants to establish if the italian business followed grant thornton 's audit procedures .	2.750
a spokeswoman at strong memorial hospital said doud was in satisfactory condition tuesday night .	a spokesman at strong memorial hospital said doud was under evaluation tuesday evening in the emergency room .	3.000
ray brent marsh , 29 , faces multiple counts of burial service fraud , making false statements , abuse of a dead body and theft .	ray brent marsh , 29 , also faces charges of abuse of a body , and theft .	3.800
after that , college president paul pribbenow told him to wrap up his speech .	after hedges ' microphone was unplugged for a second time , pribbenow told him to wrap up his speech .	3.400
for the 12-month period ending june 30 , high-speed lines installed in homes and businesses increased by 45 percent .	for the full year period ending june 30 , 2003 , high-speed lines increased by 45 percent .	3.857
ricky clemons ' brief , troubled missouri basketball career is over .	missouri kicked ricky clemons off its team , ending his troubled career there .	4.000
us military officials say rotor wash from the helicopter might have blown down the banner .	us officials said downward " rotor wash " generated by the hovering helicopter stripped the flag from the tower .	3.400
the industry 's largest association is urging its members not call the more than 50 million home and cellular numbers on the list .	meantime , the direct marketing association said its members should not call the nearly 51 million numbers on the list .	3.200
the settlement taking effect this week was reached less than two months after o'malley took the helm of the nation 's fourth-largest archdiocese .	the $ 85 million agreement was reached in september , less than two months after archbishop sean o'malley took over as leader of the nation 's fourth-largest diocese .	3.000
the u.s. capitol was evacuated yesterday after authorities detected a possibly hazardous material in the basement of the senate wing , capitol police said .	u.s. capitol police evacuated the capitol yesterday after a sensor detected a possible biohazard in the senate wing , but authorities later said it was a false alarm .	3.200
the former president also gave numerous speeches in 2002 without compensation , said his spokesman jim kennedy .	his spokesman jim kennedy said the former president also gave more than 70 speeches in 2002 without compensation .	3.600
the broader standard & poor 's 500 index . spx was down 0.04 points , or 0 percent , at 971.52 .	standard & poor 's 500 stock index futures for june were down 2.60 points at 965.70 , while nasdaq futures were down 7.50 points at 1,183.50 .	1.600
dubbed project mad hatter , the linux-based desktop is being promoted by sun as a more secure and less expensive alternative to windows .	designed to compete with microsoft corp. , project mad hatter is being positioned by sun as a cheaper , secure alternative desktop operating system to microsoft 's various desktop offerings .	3.800
the workers accuse general dynamics of " reverse age discrimination " because of a change in retirement benefits in 1997 .	general dynamics was sued when it changed its retirement benefits in 1997 .	2.600
the tech-laced nasdaq composite index . ixic eased 5.16 points , or 0.32 percent , at 1,590.75 , breaking a six-day string of gains .	the tech-heavy nasdaq composite index . ixic was off 0.11 percent , or 1.78 points , at 1,594.13 .	1.600
a key figure in former state treasurer paul silvester 's bribery scheme was accused wednesday of changing his story about silvester 's alleged corrupt dealings with a boston investment firm .	a key player in former state treasurer paul silvester 's corruption scheme testified on tuesday about kickbacks and bribes silvester traded for state business .	2.000
" the mission of the capps ii system has been and always will be aviation security , " said the administration , part of the homeland security department .	" the mission of the capps ii system has been and always will be aviation security , " they said .	3.600
hovan did not speak , but his lawyer , john speranza , said his client " did not wake up that day " intending to hurt anyone .	hovan " did not wake up that day " intending to hurt anyone , defense attorney john speranza said .	4.500
" we believe that it is not necessary to have a divisive confirmation fight over a supreme court appointment , " daschle wrote .	" we believe that it is not necessary to have a divisive confirmation fight , " daschle of south dakota wrote the republican president .	4.000
yahoo accounts for 159,354 of the bsd sites , with 152,054 from ntt/verio and 129,378 from infospace , the survey found .	another 152,054 are from ip services company ntt/verio , and 129,378 from infospace , the survey found .	3.000
the space infrared telescope facility 's mission is to search for the beginnings of the universe .	nasa is scheduled to launch the space infrared telescope facility on monday morning .	2.500
its maker , medimmune inc. , based in gaithersburg , made 4 million to 5 million doses this year .	medimmune vaccines , the maker of flumist , made between 4 million and 5 million doses this year .	3.500
kaichen appeared wednesday in federal court on two bank robbery charges .	she appeared in federal court wednesday , but did not enter a plea .	3.000
in the latest top-level shuffle at cnn , teya ryan is leaving her post as general manager of u.s. programming , the network announced .	in cnn 's latest move to rejuvenate ratings , the network has ousted teya ryan , general manager of u.s. programming .	3.769
he is suspected of being a key figure in jemaah islamiyah , the al-qa ` eda-linked terror group which has been blamed for the bombings .	samudra , 32 , is suspected of being a key figure in the al-qaida-linked terror group jemaah islamiyah , which has been blamed for carrying out the bombings .	3.400
about 100 firefighters are in the bosque today , albuquerque fire chief robert ortega said .	" we were seconds away from having that happen , " albuquerque fire chief robert ortega said .	1.800
" the issue has been resolved , " marlins president david samson said through a club spokesman .	the marlins only said : " the issue has been resolved . "	3.000
china 's health ministry said five more people had died of sars and a further 159 were infected .	on monday , china said nine more people had died from sars and that 160 more were infected with the virus .	3.000
the respected medical journal lancet has called for a complete ban on tobacco in the united kingdom .	a leading u.k. medical journal called friday for a complete ban on tobacco , prompting outrage from smokers ' groups .	3.400
shares of mcdonald 's rose $ 1.83 , or 8.3 percent , to close at the day 's high of $ 23.89 .	mcdonald 's shares rose $ 1.83 to close friday at $ 23.89 on the new york stock exchange .	4.250
an incremental step reported by researchers at the university of california , san francisco , is the latest in a decade-long effort .	the incremental step , reported by researchers at uc san francisco , is the latest in a decade-long effort to infect mice with the virus .	3.250
he said the fda was hoping congress and the courts would bring clarity to the situation and some financial relief to consumers .	he said fda hopes congress and the courts will bring clarity to the situation and some financial relief to consumers -- perhaps before the 2004 elections .	4.000
ernst & young admitted no wrongdoing with the settlement .	ernst & young spokesman kenneth kerrigan said the firm admits no wrongdoing .	4.000
the driver of the truck escaped and is now being sought by the police , supoyo said .	but police say the driver of the truck has not been found and is wanted for questioning .	4.000
the witness , a 27-year-old kosovan parking attendant with criminal convictions for dishonesty , was paid 10,000 by the news of the world .	the witness was a 27-year-old kosovan parking attendant , who was paid by the news of the world , the court heard .	3.625
" in so many different ways , the artistry of black musicians has conveyed the experience of black americans throughout our history , " bush said .	surrounded by singers from harlem , bush said : " the artistry of black musicians has conveyed the experience of black americans throughout our history .	4.250
the differences between grassley and thomas on energy and medicare have become so pointed that other members say their angry personal relationship is embarrassing the party .	their differences on energy and medicare have become so pointed other members say it is embarrassing to the party .	3.500
geraldine andrews , the pastor 's daughter-in-law , said robinson recently took her daughter out of a mental health facility .	geraldine andrews , reynolds ' daughter-in-law and a friend of wilson 's family , said robinson had recently taken wilson out of a mental health facility .	4.000
he wounded a security guard and then fled , stabbing two passersby as he ran off along the promenade .	he then stabbed two passersby as he fled along a promenade by the mediterranean sea .	3.200
he and his colleagues attributed some of the communication gap to doctors feeling pressed for time .	he attributed some of the communication gap to doctors feeling pressed for time ; patients cited discomfort discussing financial issues .	3.400
state police said as many as 30 workers were trapped immediately after the garage collapsed .	as many as 30 people were believed to be trapped inside initially , the state police said .	4.000
before thursday 's matinee , baker called a clubhouse meeting , concerned that the controversy had distracted the cubs .	baker called a pregame meeting , believing the the corked-bat episode had distracted the team .	3.400
she was taken by ambulance to charing cross hospital in hammersmith .	she was taken to charing cross hospital , where she remained critically ill last night .	2.800
bush turned out a statement yesterday thanking the commission for its work , and said , " our journey into space will go on . "	mr. bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work , and saying , " our journey into space will go on . "	3.600
os angeles - " the hulk " was a monster at the box office in its debut weekend , taking in a june opening record of $ 62.6 million .	" the hulk " took in $ 62.6 million at the box office , a monster opening and a new june record .	4.800
the governor is going to jackson , where 13 of the state 's 16 fatalities were reported .	the governor is going to jackson , where 13 people were killed .	3.800
congratulations on being named time magazine 's person of the year .	time magazine named the american soldier its person of the year for 2003 .	2.400
shortly after the opening bell , the dow jones industrial average was up 11.13 to 9,228.48 , while the s & p 500 index gained 1.74 to 982.33 .	after a weak start , the dow jones industrial average ended the day up 26.26 to 9,217.35 , while the s & p 500 index rose 3 to 980.59 .	1.600
the indictment said he attended important meetings to plan the attacks , recruited fellow bombers and coordinated the operation .	samudra not present in bangkok , the indictment said , but attended a series of meetings before the attacks , recruiting fellow bombers and coordinating the operation .	3.200
in addition , primary care trusts ( pcts ) were given star ratings for the first time this year .	primary care trusts and mental health trusts have also been formally rated for the first time this year .	3.800
it will also give microsoft an opportunity to comment on remedies proposed by the commission .	among other things , microsoft is to comment on proposed remedies in its response .	4.200
texans saddled with skyrocketing homeowners premiums might finally be getting relief .	relief is in sight for texans saddled with skyrocketing homeowners insurance premiums .	5.000
six democrats are vying to succeed jacques and have qualified for the feb. 3 primary ballot .	six democrats and two republicans are running for her seat and have qualified for the feb. 3 primary ballot .	3.400
the broader standard & poor 's 500 index rose 3.42 points , or 0.34 percent , to 1,007.84 .	the technology-laced nasdaq composite index . ixic was down 1.55 points , or 0.09 percent , at 1,744.91 .	1.000
crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain .	crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel .	3.333
halliburton on tuesday reiterated its contention that kbr had " delivered fuel to iraq at the best value , the best price and the best terms " .	" we believe kbr delivered fuel to iraq at the best value , the best price and the best terms , " halliburton spokeswoman wendy hall said .	4.000
elecia battle , of cleveland , told police she dropped her purse as she left the quick shop food mart last week after buying the ticket .	elecia battle dropped her purse after buying the mega millions lottery ticket last week and believes the ticket blew away .	3.333
customers include mitsubishi , siemens , dbtel , dell , hp , palm , philips , sharp , and sony .	mediaq 's customers include major handheld makers mitsubishi , siemens , palm , sharp , philips , dell and sony .	3.200
the cleveland cavaliers won the right to draft james by winning the nba 's annual lottery thursday night .	such was the case thursday night when the cleveland cavaliers won the " lebron james lottery , " otherwise known as the nba draft lottery .	4.000
among the workers , the researchers found short workers had worse hearing than expected for their age .	" short workers had worse hearing than expected by age -- three times more often than taller workers , " writes barrenas .	3.800
mr colpin did not specify whether it was this system that was at the centre of the investigation .	neither olaf nor the belgian prosecutors have specified if it was this system that was at the centre of the investigation .	2.200
until now , sales of the entertainment-oriented pcs have been limited to the united states , canada and korea .	the computers are currently sold in canada , the united states , and korea .	3.750
ballmer has been vocal in the past warning that linux is a threat to microsoft .	in the memo , ballmer reiterated the open-source threat to microsoft .	3.000
the broad standard & poor 's 500-stock index was up 4.83 points or 0.49 per cent to 980.76 .	standard & poor 's 500 stock index futures declined 4.40 points to 983.50 , while nasdaq futures fell 6.5 points to 1,206.50 .	1.250
